,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
,"U1
1",,"04.03.2020
ID: 6937",,"ZWEITE, sprache",,"Team Deutsch neu 2 [priručnik za nastavnike] / [au Zagreb : Klett Verlag, 2014",,,,,Dar,,2.65,,,DA,,372.881.111.22 ČAJ z,,
,"G8
2",,"11.02.2016
ID: 6187",,"DELAČ, Damir",,"Windows 3.1 : grafičko okruženje budućnosti / Dami Zagreb : INA INFO, 1993",,,,,Vlastita kupnja,,6.64,,,DA,,681.3 DELAČ win,,
,"G11
3",,"01.01.1996
ID: 4110",,"TIHI, Vinko",,"Zakon o srednjem školstvu : autorski pročišćeni te Zagreb : ˝Glosa˝, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,34 TIHI z,,
,"U16
4",,"05.03.2020
ID: 6954",,"DAKIĆ, Branimir",,"Matematika 1 , udžbenik i zbirka zadataka za 1. ra Zagreb : Element, 2014",,,,,Dar,,6.64,,,DA,,371 DAK M-3,,
,"U20
5",,"03.09.2020
ID: 6967",,"MRNJAVAC, Željko",,"Osnove ekonomije / Đuro Benić. - Zagreb : Školska knjiga, 1993",,,,,Dar,,6.64,,,DA,,330 MRNJ O,,
,"U21
6",,"03.09.2020
ID: 6968",,"MRNJAVAC, Željko",,"Osnove ekonomije / Đuro Benić. - Zagreb : Školska knjiga, 1993",,,,,Dar,,6.64,,,DA,,330 MRNJ O,,
,"U22
7",,"03.09.2020
ID: 6969",,"DIMITRIĆ, Mira",,"Poduzetničko računovodstvo / Jelica Paradžik-Lazar Zagreb : Mate, 2013",,,,,Dar,,6.64,,,DA,,657 DIM POD,,
,"G23
8",,"11.02.2016
ID: 6191",,"MAGLIĆ, Ivan",,"Oracle (SQL*Plus, SQL*Forms) : osnove / Ivan Magli Zagreb : INA [etc.], 1992",,,,,Vlastita kupnja,,6.64,,,DA,,004.6 MAG O,,
,"U23
9",,"03.09.2020
ID: 6970",,"ORSAG, Silvije",,"Tržište kapitala u Republici Hrvatskoj : zakonodav Zagreb : Sinergija, 2001",,,,,Zamjena,,6.64,,,DA,,336 ORS T,,
,"U24
10",,"03.09.2020
ID: 6971",,"PALIĆ, Mirko",,"Osnove marketinga / Dubravka Liebl, Sanja Rocco. - Zagreb : Školska knjiga, 2013",,,,,Dar,,6.64,,,DA,,658.8 PAL M,,
,"U25
11",,"09.09.2020
ID: 6972",,"DUJMOVIĆ-Markusi, Dragic",,"Fon-fon 2 : udžbenik hrvatskoga jezika za drugi ra Zagreb : Profil, 2003.",,,,,Dar,,6.64,,,DA,,811.163.42 DUJ F-,,
,"G31
12",,"10.10.1998
ID: 4973",,"KORELIĆ, Olga",,"Kemigrafija / Olga Korelić. - Zagreb : Viša grafička škola, 1986",,,,,Vlastita kupnja,,13.27,,,DA,,655.225 KOR k,,Otpisano 23.12.2019.
,"G39
13",,"22.02.2016
ID: 6237",,ČITANKA iz stranih,,"Čitanka iz stranih književnosti / [priredila] Neve Zagreb : Školska knjiga, 1989",,,,,Vlastita kupnja,,23.89,,,DA,,82(091) KOŠ Č-1-16.izd.,,
,"G40
14",,"10.10.1996
ID: 3205",,"VIDRIĆ, Vladimir",,"Pjesme / Vladimir Vidrić. -
Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,3.98,,,DA,,886.2 VIDR P,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"110,19                                                                                    110,19",,,,,,
,,,,,,,,,,,,,,,,,,,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G47
15",,"10.10.1998
ID: 5664",,"PAUNOVIĆ, Stanko",,"Računalni elektronički laboratorij : uporaba progr Zagreb : CadCam Design Centar, 1997",,,,,Vlastita kupnja,,13.27,,,DA,,372.868.13 PAU r,,,
"G49
16",,"10.12.2002
ID: 5900",,"MRKUŠIĆ, Branko",,"Porečki diptihon = II dramski dio Zatvaranje kruga Poreč : Pučko otvoreno učilište, 1998",,,,,Dar,,6.64,,,DA,,908 MRKUŠ por,,,
